szn,szn_type,official,ref_points,games,ref_rating
2022,regular season,Kane Fitzgerald,240,48,5
2022,regular season,Karl Lane,197,61,3.2295081967213113
2022,regular season,Kevin Cutler,221,61,3.622950819672131
2022,regular season,Kevin Scott,211,43,4.906976744186046
2022,regular season,Lauren Holtkamp,115,55,2.090909090909091
2022,regular season,Leon Wood,106,52,2.0384615384615383
2022,regular season,Marat Kogut,104,54,1.9259259259259258
2022,regular season,Marc Davis,273,55,4.963636363636364
2022,regular season,Mark Lindsay,235,63,3.7301587301587302
2022,regular season,Matt Boland,95,55,1.7272727272727273
2022,regular season,Matt Kallio,10,10,1
2022,regular season,Matt Myers,45,41,1.0975609756097562
2022,regular season,Michael Smith,170,56,3.0357142857142856
2022,regular season,Mitchell Ervin,184,64,2.875
2022,regular season,Mousa Dagher,50,44,1.1363636363636365
2022,regular season,Natalie Sago,140,64,2.1875
2022,regular season,Nate Green,28,28,1
2022,regular season,Nick Buchert,168,64,2.625
2022,regular season,Pat Fraher,300,60,5
2022,regular season,Pat OConnell,3,3,1
2022,regular season,Phenizee Ransom,51,47,1.0851063829787233
2022,regular season,Ray Acosta,116,64,1.8125
2022,regular season,Robert Hussey,10,10,1
2022,regular season,Rodney Mott,205,41,5
2022,regular season,Scott Foster,215,43,5
2022,regular season,Scott Twardoski,67,53,1.2641509433962264
2022,regular season,Scott Wall,113,47,2.404255319148936
2022,regular season,Sean Corbin,113,29,3.896551724137931
2022,regular season,Sean Wright,315,63,5
2022,regular season,Sharae Mitchell,4,4,1
2022,regular season,Simone Jelks,1,1,1
2022,regular season,Suyash Mehta,51,47,1.0851063829787233
2022,regular season,Tom Washington,188,50,3.76
2022,regular season,Tony Brothers,295,59,5
2022,regular season,Tre Maddox,214,54,3.962962962962963
2022,regular season,Tyler Ford,267,67,3.985074626865672
2022,regular season,Tyler Mirkovich,1,1,1
2022,regular season,Tyler Ricks,9,9,1
